# name  peak_RA  peak_dec
PSZ2G000.04+45.13  229.1860091944767  -0.973334127593386
PSZ2G006.68-35.55  308.6918181704642  -35.83148811531581
PSZ2G007.76-36.83  310.5192262274914  -35.21827432451632
PSZ2G008.80-35.18  308.6721950262803  -34.06588774298307
PSZ2G018.73+23.56  255.5885008772183  -1.002991115623891
PSZ2G018.84+22.43  256.5990915011878  -1.534234106421924
PSZ2G028.63+50.15  235.0005853205757  17.93563979693334
PSZ2G033.46-48.43  328.0886123345898  -19.54802032399398
PSZ2G037.05-70.55  351.5595125371167  -24.10819372304687
PSZ2G041.43-66.81  348.0809179943021  -21.50270847237599
PSZ2G045.50-37.21  321.2949369399332  -6.964313591138385
PSZ2G047.73-60.15  342.7320882962188  -16.4064885552996
PSZ2G048.75+53.18  234.962168293974  30.71755351625936
PSZ2G049.32+44.37  245.1288532231106  29.88959205100576
PSZ2G049.69-49.46  333.6309983947409  -10.37227863340861
PSZ2G059.72-46.21  334.7188277216271  -2.979502107309322
PSZ2G062.44-46.43  335.9490224717058  -1.650158845741412
PSZ2G065.32-64.84  351.3324355770198  -12.12446120624138
PSZ2G065.81-83.77  7.154711102953546  -23.64494609341421
PSZ2G072.40-78.45  3.40637361592588  -19.498651079259
PSZ2G080.41-33.24  336.5258337776742  17.3631002127849
PSZ2G083.14+66.57  213.43271022582  43.66231410481278
PSZ2G091.40-51.01  353.4746481050977  7.078869190540266
PSZ2G099.57-58.64  0.9565515903700598  2.065443950181391
PSZ2G113.29-29.69  2.940244269620383  32.41444265157891
PSZ2G114.79-33.71  5.154568574706388  28.66059600709868
PSZ2G114.90-34.35  5.395731616734412  28.05241233599613
PSZ2G135.19+57.88  180.5156216874045  58.03587461616679
PSZ2G137.74-27.08  28.77624634125763  33.93505077077324
PSZ2G147.11+21.84  94.66922673203206  67.41631811471696
PSZ2G152.70+25.46  106.1189107832037  63.30897750406331
PSZ2G162.33+25.03  108.5881013251257  54.67239763624246
PSZ2G178.94+56.00  154.9671787048918  40.98790646004735
PSZ2G192.18+56.12  154.09411047554  33.63929513502235
PSZ2G198.47-23.69  75.36634919364646  1.175140036793376
PSZ2G200.63-64.71  39.15300945348744  -19.37195088123445
PSZ2G206.22+24.89  122.7811018567326  16.71700034297127
PSZ2G224.38-24.95  84.56254554593465  -20.63259769652834
PSZ2G226.16-21.95  88.21405200129928  -21.05310450012554
PSZ2G228.62+68.44  170.8156504444589  19.59600882434033
PSZ2G261.88+62.85  175.2994748335289  5.734631275379228
PSZ2G268.30+28.89  159.603616865067  -24.89194617804994
PSZ2G277.38+47.07  175.3502973721639  -12.27722612085493
